Agency_Key,Name,cty_Banks,cty_Barrow,cty_Clarke,cty_Elbert,cty_Franklin,cty_Greene,cty_Hart,cty_Jackson,cty_Madison,cty_Morgan,cty_Oconee,cty_Oglethorpe,service_Behavioral_Health,service_Clothing_Personal_and_Household,service_Community_Shelters,service_Disaster_Services,service_Education,service_Employment,service_Financial_Assistance,service_Food_and_Meals,service_Government,service_Health_Care,service_Individual_Family_Community_Support,service_Information_Services,service_Legal_Consumer_and_Public_Safety,service_Mental_and_Behavioral_Health,service_Public_Health,service_Public_Safety,service_Resources_for_Families_with_Children,service_Social_Insurance_Programs,service_Support_Groups,service_Transportation
UWNG10217,Newton County Government Information Lines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
UWNG10867,Uncle Remus Regional Library System,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
UWNG11442,Piedmont Regional Library System,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
UWNG11563,"Ferst Readers, Inc.",0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UWNG11689,"Madison Morgan County Caring Place, Inc.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UWNG11709,Christian Outreach Ministry,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UWNG11715,First Baptist Church of Jefferson,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UWNG11722,First Baptist Church of Commerce,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UWNG1544,Athens Area Emergency Food Bank,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UWNG1624,"Ninth District Opportunity, Inc. - Franklin County Community Resource Center",1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
UWNG17315,"Adventure Bags, Inc",0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UWNG17338,"Ark of Jackson County, Inc.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
UWNG17445,Boys & Girls Club of Athens- Joel E. Smilow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UWNG1828,"ACTION, Inc. - Clarke County",0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0
UWNG18833,Madison-Morgan County Boys & Girls Club,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UWNG19175,American Red Cross - Northeast Georgia Chapter,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
UWNG19179,Athens Land Trust,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UWNG19202,"iServe Ministries, Inc.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UWNG19226,Economic Justice Coalition,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UWNG19231,Georgia Department of Human Services/ Division of Family and Children Services/DFCS - Clarke County,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
UWNG19233,Georgia Department of Labor,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
UWNG19235,Georgia Department of Education County School District - Clarke County,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
UWNG19237,Georgia Department of Juvenile Justice - Clarke County Court Service Office,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
UWNG19245,Paxen Learning Services,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
