county,service_Clothing_Personal_and_Household,service_Disaster_Services,service_Community_Shelters,service_Education,service_Employment,service_Food_and_Meals,service_Health_Care,service_Public_Health,service_Public_Safety,service_Financial_Assistance,service_Individual_Family_Community_Support,service_Resources_for_Families_with_Children,service_Information_Services,service_Legal_Consumer_and_Public_Safety,service_Mental_and_Behavioral_Health,service_Government,service_Social_Insurance_Programs,service_Support_Groups,service_Transportation
cty_Banks,2,0,2,8,6,3,1,1,1,2,0,12,11,5,3,5,1,3,1
cty_Barrow,3,1,2,13,11,7,7,3,3,3,0,20,17,10,9,7,3,9,3
cty_Clarke,5,2,4,20,19,14,7,5,5,7,1,25,21,16,12,12,4,14,4
cty_Elbert,2,2,5,11,12,6,3,2,3,4,0,16,16,11,9,7,4,5,3
cty_Franklin,1,1,4,7,7,2,3,2,2,2,0,12,12,8,6,5,2,4,1
cty_Greene,3,1,2,11,11,5,3,2,2,3,0,12,14,6,10,5,2,6,3
cty_Hart,1,1,4,8,8,3,3,1,3,2,0,12,13,8,7,4,2,4,1
cty_Jackson,3,1,2,12,11,9,6,3,3,5,0,20,17,11,8,7,3,8,4
cty_Madison,3,2,5,12,12,8,6,3,3,6,0,16,19,15,10,8,4,10,3
cty_Morgan,4,1,3,10,10,6,3,2,3,4,0,14,17,6,9,6,2,5,3
cty_Oconee,4,2,4,10,12,7,6,3,4,7,0,20,17,14,9,9,4,10,3
cty_Oglethorpe,3,2,5,12,12,8,6,3,3,6,0,17,18,15,10,9,4,10,3
